Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
PZA03521.1	0.03162	0.01667	-1.5839E-2	-9.0361E-3	0.01527
PZA00106.9	0.02909	0.01697	-3.2352E-2	-8.0831E-3	0.01299
PZA00106.10	0.04004	0.01708	1.7474E-4	-6.8333E-3	0.01208
PZA03551.1	0.03859	-3.4993E-3	0.01684	0.01096	0.0109
PZA03551.2	-1.7167E-2	-2.6296E-3	-9.0265E-3	-1.4178E-2	0.02297
PZA03552.1	-7.4156E-3	-9.5301E-3	-6.5012E-3	0.003	0.00652
PZA03557.1	-1.3175E-2	-2.7516E-3	-6.76E-3	0.02334	0.01665
PZA03558.3	-2.3599E-2	0.02943	0.0035	-9.4316E-3	-1.6781E-3
PZA03663.1	-1.9119E-2	-1.8286E-2	-2.1121E-2	0.02257	0.02335
PZA03663.2	-2.7775E-3	-3.0369E-2	-1.1411E-2	0.01426	0.02209
PZA03662.2	-2.4062E-3	-1.9969E-3	-5.2954E-4	-6.7025E-3	0.00131
PZA01497.1	0.02969	0.02246	0.02669	-6.161E-3	-2.45E-2
PZA01652.1	-1.6814E-2	0.01246	-1.6977E-3	0.01165	-6.3479E-3
PZA02393.2	0.0419	-7.2008E-3	0.01132	0.00885	-2.0914E-2
PZB00648.4	-2.6921E-3	-3.0055E-3	-4.2064E-3	-8.5401E-3	-9.206E-3
PZB00648.5	0.00414	0.03332	-1.5642E-2	0.04376	0.00493
PZB00718.1	-3.9986E-3	-5.3795E-2	0.00126	-3.9298E-3	-5.6912E-3
PZB00718.2	-2.2225E-2	0.03183	0.014	-4.8722E-3	-3.8237E-3
PZB00718.6	-2.0239E-2	0.03716	0.01314	-5.7693E-3	-4.78E-3
PZB00718.3	-9.5035E-3	-2.0691E-2	-2.3371E-2	0.02581	0.00355
PZB00718.5	0.02803	0.0168	-1.8654E-2	0.01912	0.00262
PZA01030.1	0.02853	0.01727	-1.795E-2	0.00632	-1.8498E-3
PZA00358.12	-1.0705E-2	-5.8122E-3	-9.3103E-3	0.00991	-3.3346E-2
PZA00425.11	-1.6295E-2	-2.0493E-2	-1.467E-3	-2.3162E-2	0.0129
PZA00425.4	-1.5268E-2	-2.221E-2	-2.0557E-3	-2.8841E-2	0.01125
PHM13619.5	-8.4979E-4	-3.9096E-2	0.02767	0.01364	0.01531
PZA02487.1	0.03318	-8.2666E-3	0.00562	-1.7423E-2	0.0465
PHM4531.46	8.5679E-6	-2.7481E-2	-1.1463E-3	0.00138	-3.127E-2
PZD00096.1	0.03233	-4.8361E-3	-4.0461E-2	-2.1771E-2	-2.1002E-2
PZD00097.1	-1.2887E-2	0.01002	0.05662	-5.1925E-5	0.01338
PZD00098.2	-7.0179E-5	-7.2587E-3	-2.598E-3	-3.5315E-3	0.01
PZD00098.1	0.03111	-3.6998E-2	-5.6358E-2	0.00733	0.00532
PZA02921.4	0.02913	-2.7899E-2	-4.8846E-2	-2.7351E-2	0.02059
PZA02921.9	-1.9076E-2	0.03298	0.00366	0.00327	-4.1184E-4
PZB01957.2	0.03583	0.01041	-3.2888E-2	-1.8016E-4	-8.812E-3
PZB01957.3	-2.9407E-3	-1.2244E-2	-2.987E-3	-5.6322E-3	-3.6218E-3
PZB01957.1	0.03007	0.01738	-2.6321E-2	0.00614	-4.4996E-3
PZA03004.10	-1.187E-2	-1.0184E-3	-1.9075E-4	-4.148E-3	9.6155E-4
PZB02515.2	-8.1561E-3	0.00759	0.00253	-1.0369E-3	-2.1328E-2
PZB02515.3	-7.8583E-3	0.00392	-3.5129E-3	-1.428E-2	0.00139
PZB02515.1	0.00327	-4.293E-2	0.03166	0.01919	0.00247
PZB02058.2	-1.6428E-2	-4.4255E-2	-1.409E-2	0.00922	0.00636
PZB02058.3	0.01758	0.04689	0.01175	-4.1812E-3	0.01275
PZA00654.12	-1.7954E-4	-1.9174E-2	-1.0508E-2	-4.5811E-3	-2.4395E-3
PZA02490.1	0.01252	-3.6354E-2	0.03036	-1.3781E-2	0.00103
PZA02806.4	0.04058	0.01735	0.02164	0.00201	0.03243
PZA01455.1	0.03936	0.0206	0.01735	0.00378	0.03
PZB01662.2	-8.2065E-3	0.0014	-2.2651E-3	0.01753	0.0023
PZB01662.1	0.03278	-2.136E-3	0.00622	0.00809	-7.3807E-3
PZA02686.1	0.01909	0.02977	-2.1781E-2	0.00696	0.00441
PZA00017.1	-5.5016E-3	-5.755E-2	-2.3691E-2	0.02111	0.03155
PZA00017.4	-2.2764E-3	-3.3076E-2	-1.5232E-2	0.01707	0.04771
PZA00192.7	-2.104E-3	-3.3394E-2	-1.4608E-2	0.01652	0.04452
PZA00192.6	-1.0027E-3	-2.955E-2	-1.3894E-2	0.01484	0.04242
PZA03345.1	-1.2042E-2	-1.378E-2	-7.9606E-3	-1.2403E-2	0.02626
PZA03345.3	-1.2E-2	0.02537	0.00681	-3.008E-4	-4.3909E-5
PZA03345.5	-1.1368E-2	0.02519	0.0085	9.4357E-5	4.0276E-4
PZA00240.6	-1.7526E-2	-4.1577E-2	-1.2072E-2	-1.6774E-2	0.00439
PZA00240.4	-1.3202E-2	-3.0019E-2	-6.8658E-3	-4.7736E-2	0.01305
PHM3726.129	-3.9737E-2	0.04047	0.00357	-8.0734E-3	-5.1629E-3
PZA00274.7	-8.6155E-3	-2.1025E-2	-1.4852E-2	0.0036	-1.5845E-3
PZA00274.14	-1.7188E-2	0.00567	-2.7767E-3	0.02717	0.00999
PZA02376.1	-7.0461E-3	-5.1557E-3	-1.5015E-3	0.00339	0.00818
PZA03243.7	0.0016	-1.4958E-2	-4.0655E-3	-8.9291E-5	0.01784
PZA03243.3	-4.077E-2	0.03735	-4.7569E-3	0.03517	0.00488
PZA03243.4	-2.6003E-3	-4.1007E-2	-8.7786E-3	-2.6206E-2	-2.866E-2
PZA03243.2	0.0488	-2.1577E-3	0.0103	-4.4127E-3	0.02713
PZA03742.2	0.04472	-3.8062E-3	0.0135	-4.4512E-3	0.02459
PZA03742.1	0.04899	-2.5428E-3	0.0107	-8.0955E-3	0.0272
PZB00033.1	-4.423E-4	-2.6443E-2	-4.853E-3	-1.2106E-2	-1.5014E-2
PZB02517.1	-9.2863E-3	-2.3806E-3	0.00331	-1.7258E-2	-1.6219E-2
PZA00081.18	0.00517	0.00569	-1.2781E-2	-5.1937E-3	0.00608
PZA03183.3	-2.8315E-2	0.01959	-2.3612E-3	-2.039E-2	0.01628
PZA03183.4	0.0217	-2.9166E-2	0.02541	0.01892	-1.3616E-2
PZA03183.2	0.01833	0.02047	-1.6814E-2	-1.0918E-3	0.02377
PZA03183.5	0.01462	0.02016	-1.7599E-2	0.0068	0.01531
PZB00872.1	0.02221	8.8506E-4	-3.9551E-2	0.03702	-4.1117E-2
PZB00872.3	0.01694	-1.249E-3	-2.5462E-2	0.02928	-2.9504E-2
PZD00010.3	-7.012E-3	-6.1213E-3	-7.2497E-3	0.00446	0.00299
ts2.4	0.01587	-2.979E-2	0.01946	-1.3497E-2	-4.1902E-2
PZA03100.4	0.00873	-4.3299E-2	0.01749	0.0117	-2.7472E-2
PZA03673.2	-1.4505E-2	0.01115	-2.4197E-3	0.00384	8.6508E-4
PZA03673.1	-1.7372E-2	0.01595	-8.0602E-5	0.00313	0.00309
PZA03672.1	-3.6555E-3	-2.0419E-2	-1.2706E-2	-7.1056E-4	-1.3672E-2
PHM4913.18	0.00339	-4.7259E-2	-3.367E-2	0.02503	-2.8441E-2
PZA03168.1	-1.1211E-2	-1.9521E-2	-8.2238E-3	0.01989	-3.1761E-2
PZA03168.5	0.03052	0.01426	0.01981	0.00743	-9.2551E-4
PZA03168.2	-6.2328E-3	0.01139	-2.9684E-3	-1.8862E-2	0.01598
PZA00617.16	-1.0517E-2	-4.5393E-3	-1.5768E-2	0.00455	-2.1327E-2
PZA00617.5	-1.3535E-2	-1.0906E-2	1.1983E-4	-1.0226E-3	0.00391
PZA03746.1	-3.2919E-2	0.01568	-9.3735E-3	0.01025	-2.5834E-2
PZA02737.1	0.02434	0.00431	0.00464	0.04506	0.01538
PZA02550.1	0.02806	0.01876	-1.7937E-2	0.00528	0.01022
PZA02114.1	0.02823	0.02057	-2.1757E-2	0.00863	0.00116
PZB01062.2	-2.1551E-2	0.02356	0.00175	-1.6058E-2	-7.8627E-3
PZB01062.3	-2.294E-2	0.03018	-3.7598E-3	-4.5888E-2	-1.7304E-3
PZB01273.2	-1.4812E-2	-1.2722E-3	-4.7899E-3	-3.8825E-3	0.00993
PZA00328.1	-1.6448E-2	0.0208	0.00104	0.00191	9.4393E-4
PZA03561.1	-2.1443E-2	0.01324	-1.3945E-2	-1.9677E-2	-7.0547E-3
PZA03561.2	0.01122	-2.354E-2	0.03835	5.0281E-5	-4.1354E-2
PZA00378.9	-1.4876E-2	0.01906	-4.7328E-3	-3.2667E-3	-3.5402E-2
PZA00294.20	-1.6114E-2	0.01694	-7.315E-4	0.00854	0.01087
PZA00294.22	0.00596	-2.5051E-3	-2.8879E-2	0.02308	0.0286
PZA00294.4	-7.6068E-4	-7.7109E-3	-1.5501E-2	0.01157	-8.1864E-3
PZA03189.2	-1.8827E-2	-2.0195E-3	-2.6579E-3	0.00562	0.02014
PZA03189.3	-1.1536E-2	0.00773	-9.9978E-3	-1.2778E-3	-1.954E-2
PZA03189.4	-3.5411E-2	0.02241	-1.3371E-3	-3.3646E-3	0.02014
PZA03189.1	0.03244	-1.2202E-2	0.01442	-1.2358E-3	0.0154
PZA00263.13	-8.4538E-3	-2.0739E-2	-1.6456E-2	-1.7321E-2	0.00103
PHM5098.25	-6.3855E-3	-1.2537E-3	-9.4976E-5	0.00705	0.00463
PZA02791.3	-6.4695E-3	0.00252	-1.6279E-3	0.02124	0.03338
PZA02791.6	-1.2217E-2	-3.0912E-3	-4.774E-3	0.02376	0.03625
PZA00714.1	-2.1151E-2	0.01112	4.9752E-4	-2.01E-2	-2.8726E-3
PZA00714.6	-3.5366E-3	-2.9271E-2	-5.6543E-3	0.03373	-1.2749E-2
PZA01267.3	-3.1208E-2	0.005	-5.4964E-3	-6.0551E-3	0.01734
PZA00752.1	0.02747	0.02243	-2.7311E-2	0.00477	5.3796E-5
PZA01135.1	0.02943	0.0021	-3.2586E-2	0.00576	-3.4543E-2
PZA00119.4	-6.305E-3	-1.7184E-2	-4.8862E-3	-8.3959E-3	-7.202E-3
PZA00119.1	0.0099	-1.8581E-2	-4.3913E-2	0.03138	-3.5063E-2
PZB01235.1	0.01529	0.03523	0.03092	-2.9001E-5	-1.2954E-2
PZB01235.2	-1.5342E-2	0.02552	0.00575	2.7348E-4	-1.3796E-3
PZB01235.3	0.0012	-1.0448E-2	-2.4308E-3	-5.2594E-3	-1.7531E-2
PZB01235.4	0.02394	0.00208	0.01867	0.00547	-1.2504E-2
PZA03240.1	-4.5728E-2	0.01651	-1.6254E-2	0.03131	-1.6929E-2
PZA03240.2	0.01787	-3.7863E-2	0.04104	-3.8139E-2	0.01816
PZA03240.4	0.00366	0.00314	-2.5432E-3	-9.3856E-3	0.00345
PZA03465.1	0.02831	0.00868	-3.585E-2	-2.3226E-4	-2.224E-2
PZA03407.2	8.867E-4	0.02717	-3.9504E-2	-1.8846E-2	-1.3443E-2
PZA03407.3	-1.4343E-2	-7.297E-3	-1.3734E-2	-1.6218E-2	-1.7278E-2
PZA03407.4	-7.6667E-3	0.01274	0.00106	-2.0266E-3	0.0014
PZA00944.1	0.00428	0.04394	-3.1305E-2	-1.5764E-2	0.02081
PZA00944.2	-1.0915E-2	0.01323	-1.2766E-3	-6.6844E-3	0.00786
PHM9418.11	0.01014	-4.0129E-2	0.00369	-1.1657E-2	-1.942E-2
PZA02763.1	-3.3119E-3	0.02539	-2.7285E-2	-1.3235E-2	0.01372
PZA00939.1	0.01285	0.03206	-4.1401E-2	-8.3096E-3	-2.1316E-2
PZA01254.2	0.02099	0.03623	-3.5275E-2	-1.7449E-3	-1.3859E-2
PZA02070.1	0.02775	0.01617	-2.7391E-2	0.00757	-5.0574E-3
PZA00205.7	0.01201	0.01025	0.06	-4.0028E-3	0.00657
PZA00010.5	-2.0689E-2	-5.3972E-3	-1.1987E-2	-2.4086E-2	0.00483
PZB01067.2	-1.3532E-3	-7.5325E-5	-6.3538E-3	-6.675E-3	-2.6605E-3
PZA03394.1	-1.3038E-2	0.008	-6.8274E-3	0.00754	-2.6325E-2
PZA02577.1	0.02602	0.01777	0.02746	0.03674	0.01307
PZA03200.2	-1.8806E-2	0.02393	-8.4602E-3	-1.3404E-2	0.01799
PZA03200.3	0.02626	0.01424	-2.7884E-2	0.01713	0.02245
PZA03200.1	-2.142E-5	0.01524	-3.7529E-2	-5.4121E-3	0.00853
PZA03028.5	-7.1476E-3	0.00346	-1.9891E-3	-3.6938E-3	-1.705E-3
PZA02741.1	0.00265	-2.0583E-2	-1.9275E-2	-5.7312E-3	-3.4928E-2
PZA02963.5	-1.773E-3	-3.8633E-3	-2.8354E-3	-1.0179E-2	-4.9091E-5
PZB00801.1	-8.2008E-3	-5.2347E-2	-2.4799E-2	0.00971	-2.0018E-4
PZA03581.1	-2.3931E-2	0.00223	-1.7102E-2	-1.1536E-2	-5.4634E-3
PZA03581.2	-6.6295E-4	-5.1897E-3	-1.5569E-2	-2.6579E-3	-5.9394E-3
PZA03580.2	-2.3007E-2	0.01007	-1.6737E-2	-1.0021E-2	0.00612
PZA03580.4	-2.7372E-4	-3.9173E-3	-1.6838E-2	-2.7723E-3	-6.1389E-3
an1.5	0.05168	-1.0849E-2	0.01273	-1.7716E-2	0.02685
PZA00455.4	-3.6592E-3	-1.5529E-2	-1.0898E-2	-6.8078E-3	-2.2549E-2
PZA00484.5	0.01148	-2.3283E-2	0.05111	0.02646	-1.2495E-2
PZA02191.1	0.02477	0.01985	-2.7113E-2	-8.4207E-4	0.0012
PZA03112.1	0.00342	-1.6137E-3	0.01707	-3.5013E-3	0.00802
PHM1968.22	0.00425	0.01363	-2.7013E-2	-2.007E-2	-2.2207E-2
PZA00068.1	0.03056	0.00578	-4.0089E-2	-1.6537E-2	-2.3206E-2
PZB00149.1	-1.4018E-2	-7.1257E-4	3.6618E-4	-1.7947E-2	5.1314E-4
PZB00149.2	-4.4273E-3	-2.779E-2	-1.1054E-2	-2.5669E-2	0.01087
PZB00454.2	-3.2919E-3	-1.4366E-2	-7.0545E-3	-1.4895E-2	-2.5746E-3
PZD00053.5	-1.1765E-2	0.00101	-3.6548E-3	0.01978	0.02244
PZD00053.4	-2.1273E-2	-6.9488E-3	-1.0294E-2	-2.1915E-2	-1.2413E-2
PZA00619.3	0.02904	0.01676	-3.1979E-2	0.01444	0.00318
PZA03427.1	0.0089	-1.4789E-2	0.05593	-1.4794E-2	-1.4645E-2
PZA03427.2	0.01019	-1.06E-2	0.05917	-1.6095E-2	-4.3512E-3
PZA02467.10	0.03561	-1.002E-2	-5.53E-2	-2.2921E-2	0.00705
PZA00435.4	-2.3179E-2	0.01394	-4.6907E-3	-5.9915E-3	0.02967
PZA00435.5	-2.9083E-2	-1.0038E-3	-1.284E-2	-1.383E-2	-2.5943E-2
PZA03074.24	-4.1733E-3	-2.1515E-2	-1.5047E-2	0.03041	-2.8893E-2
PZA03074.27	0.02694	-9.4896E-3	-4.0822E-2	-1.3269E-2	0.00721
PZA03686.1	-8.5806E-3	0.00137	0.0036	0.00247	0.01116
PZB00400.1	0.00928	0.02757	-3.5136E-2	-1.7762E-2	-2.0609E-2
PZB00393.2	0.03334	0.02059	0.01599	-1.7519E-2	0.0328
PZB01156.3	-4.4991E-3	-2.1855E-2	-1.4305E-2	-1.6564E-2	0.00252
PZB01077.7	-2.9664E-3	-1.6872E-2	-1.1924E-2	-2.0124E-2	0.0036
PZB01077.1	0.02101	-3.2032E-2	-5.9622E-2	1.2079E-4	-7.3498E-3
PZB01077.3	-7.982E-3	-1.0526E-2	-1.5553E-3	-2.7388E-2	0.00132
PZB01077.2	-2.3343E-3	-9.8529E-3	-8.9424E-4	-1.4793E-2	0.00702
PZA01216.1	0.02207	-3.7155E-2	-5.1412E-2	-2.4374E-2	0.01768
PZA00131.14	-1.2553E-2	-3.2702E-3	-1.0099E-2	-6.3407E-3	0.02668
PZB00991.1	-1.1029E-2	0.01496	-3.53E-3	6.1372E-4	0.00281
PZA01391.1	-8.2606E-5	-2.4878E-2	-9.8547E-3	-1.2885E-2	-5.4571E-3
PHM5480.17	0.00404	-3.6681E-3	0.05036	0.00873	-4.3518E-3
PZB00728.1	-3.6377E-3	0.04932	-3.1602E-2	-2.6638E-2	-2.1823E-2
PZB00728.2	0.0059	-1.7487E-2	0.02782	-1.9243E-2	-4.0222E-2
PZA03218.1	0.03732	0.01157	0.01184	-8.6427E-4	-3.5226E-2
PZA03218.2	0.02509	0.02389	-2.9583E-2	1.1971E-4	0.00171
PZA01019.1	-2.3599E-2	-2.2141E-3	-1.3576E-2	-2.4216E-2	-2.8918E-2
PZA03194.2	0.00368	-1.0382E-2	0.04897	-5.2742E-3	0.01128
PZA03194.1	-7.2854E-3	0.06268	-3.0946E-2	0.03359	0.01694
PZA03193.1	0.01573	0.02532	0.02268	0.02873	0.02964
PZA02014.3	0.04069	0.01275	0.02719	-1.0962E-2	-5.7282E-3
PZA03276.2	-8.17E-3	-4.6969E-4	-1.3457E-3	0.02803	0.00102
PZA03276.4	-1.3157E-3	-7.4524E-3	-3.2717E-3	-5.496E-3	-1.3516E-2
PZA03276.3	0.00126	0.00878	0.03689	-2.0904E-3	-1.9572E-2
PZA03276.1	-7.3788E-3	0.02082	0.04724	-4.9687E-3	-2.8776E-2
PZA03265.3	-5.5981E-3	-4.0826E-2	-1.7959E-2	0.01937	0.03664
PZA03265.4	-6.7996E-3	-5.1302E-3	-1.5427E-3	-1.2961E-2	-4.6239E-3
PZA03265.2	-1.4317E-2	0.01025	0.0043	0.01839	-6.0956E-3
PZA00289.11	-1.588E-3	-1.2262E-2	-5.5372E-3	0.02863	0.00671
PHM6043.19	0.0281	0.00895	-2.7115E-2	0.00649	0.00102
PZB02171.1	0.00984	0.01723	-3.0279E-2	0.01391	0.01381
PZA03741.1	0.01658	-9.8044E-3	-3.6918E-2	-3.038E-2	-5.7413E-3
PZA00369.1	-1.5432E-2	0.01336	-1.8653E-3	0.00326	-9.7302E-3
PZA03632.3	-1.6073E-2	0.01596	8.9246E-4	0.00926	-4.1752E-3
PZA03632.1	-1.4354E-2	-5.7734E-3	-1.6779E-2	-2.2632E-2	-2.824E-2
PZA03632.2	-1.2588E-2	0.02199	-9.7336E-3	-2.31E-3	-2.5605E-2
PZA03631.1	-1.0435E-2	0.01141	4.0893E-5	0.0127	-1.4919E-3
PZA03630.1	0.00542	-2.5093E-2	-1.746E-2	-3.4667E-2	-2.2444E-2
PZA03630.2	-3.7559E-3	0.01004	-1.0339E-2	-1.4816E-3	-2.4789E-2
PZA03443.1	-1.6066E-2	0.02309	0.00456	0.01401	0.0027
PHM15871.11	0.02326	0.02654	-3.3967E-2	-4.3687E-3	0.00213
PZA02117.1	0.00874	0.00148	-3.8233E-2	0.00561	-4.9976E-3
PZA00403.5	0.00984	0.00709	-4.6146E-2	0.00203	-8.8847E-3
PZB01979.2	0.01263	-1.5994E-3	-5.0957E-2	0.00786	-1.5042E-2
PZB01979.3	0.01529	-1.6917E-2	0.05097	0.00562	0.00872
PZA00658.21	0.02135	0.0159	-3.7452E-2	-7.8774E-3	-2.047E-2
PZA00658.19	-3.398E-3	-1.8893E-2	-8.9904E-3	-2.0319E-2	-1.1232E-3
PHM2478.22	0.03384	0.01394	0.03136	0.00733	-1.5368E-3
PZA00664.3	0.00539	0.03045	0.03269	0.02659	-1.3512E-2
umc128.2	-1.6235E-2	-1.9588E-2	-2.8053E-2	0.02681	0.02638
PZA03001.15	0.03774	0.0085	0.00926	0.00252	0.03045
PZA03001.9	0.03726	0.00867	0.00967	0.00184	0.0342
PZB01647.1	0.03806	0.00921	0.01147	8.1119E-4	0.03316
PZB00011.1	0.00977	0.00565	-3.2498E-2	-1.8234E-2	0.03089
PZB00116.1	0.014	-3.8053E-4	-2.7471E-2	-2.058E-2	0.0209
PZB00011.6	-4.1633E-3	0.00513	-5.9675E-3	-5.3357E-4	0.00983
PZB00116.2	0.00963	0.00557	-3.2348E-2	-1.8019E-2	0.03036
PZA00381.3	0.0165	0.02071	-4.14E-2	-7.2296E-3	-2.5693E-2
id1.6	-6.2422E-3	-3.2772E-2	-2.2267E-2	0.0288	0.00736
id1.3	-5.7106E-3	-3.351E-2	-2.2001E-2	0.02793	0.00561
id1.2	-5.3516E-3	-3.4261E-2	-2.1903E-2	0.02776	0.00886
PZB02144.4	-5.6348E-3	-3.1597E-2	-2.1978E-2	0.02978	0.00498
PZB02144.5	-5.2862E-3	-2.9069E-2	-1.6566E-2	0.02693	0.01646
an1.4	-2.3475E-3	-1.9608E-2	-1.1327E-2	0.01818	-3.2714E-2
PZB00148.3	0.00189	-2.4697E-2	-2.2589E-2	0.01063	-3.8316E-2
PZB00425.1	-1.6978E-4	-3.2501E-2	-1.6468E-2	0.0093	-3.9308E-2
PZB00237.2	-2.0396E-3	-1.1726E-2	-6.9675E-3	0.01096	-5.0429E-3
PZB00237.1	-1.5404E-3	-2.9399E-2	-1.6918E-2	0.01021	-3.2313E-2
PZA03301.2	0.0093	0.00986	-1.6657E-2	0.00335	-1.8125E-2
PZA03301.5	-3.0625E-3	-2.2234E-2	-1.1746E-2	0.01306	-1.8575E-2
PZA03301.3	0.0149	0.00976	-1.4826E-2	0.00742	-2.4465E-3
PZA03666.3	0.01797	0.0071	-3.0392E-3	-9.4058E-3	0.0089
PZA03665.2	-4.916E-3	-2.0327E-2	-1.2539E-2	-2.3874E-2	0.00145
PZA03664.1	0.00403	-2.4496E-2	0.01405	0.00966	0.01163
PZA03214.3	-9.0441E-3	0.00779	1.2233E-4	-1.8753E-4	-9.4409E-3
PZA03214.2	0.00176	-3.5979E-2	-2.5959E-2	0.0172	0.01514
PZA03214.1	0.01444	0.00599	-1.9795E-2	-1.3019E-2	-3.2389E-2
PZA00137.2	-6.5798E-3	-4.5338E-2	-3.0246E-2	0.00888	-2.2661E-2
PZA03064.6	0.00749	0.01911	-2.5547E-2	0.01171	0.0088
PZA03404.1	-2.0615E-2	4.0249E-4	-1.0128E-2	-1.617E-2	-2.0065E-3
PHM16605.19	0.01466	0.00218	-2.7076E-2	0.00865	0.02658
PZA02269.4	-1.632E-2	-7.5554E-3	-9.3663E-3	0.0023	-3.1238E-2
PZA02269.3	0.00321	0.00499	-2.9044E-2	0.0084	-2.0363E-2
PZA00318.2	-2.3594E-2	0.03055	0.00122	0.01343	0.00872
PZA00318.5	-7.5947E-3	4.8979E-4	-4.1296E-4	-5.6086E-3	0.00856
PZA03387.1	-3.3306E-3	-4.8091E-4	-1.3696E-2	0.00573	-2.6016E-3
PHM14475.7	7.2518E-4	0.02383	-3.371E-2	0.02612	-2.6431E-3
PZA01588.1	-2.5071E-2	-3.1702E-2	-1.1171E-2	0.01457	0.0231
PZA00339.3	-3.8736E-3	0.0301	-1.7039E-2	-2.7811E-2	0.01842
PZA00094.2	-6.7344E-3	-2.0608E-2	-9.8719E-3	0.03261	-9.1E-3
PZB02476.1	0.01472	0.01327	-1.7809E-2	-4.5955E-3	-3.161E-3
PZA01921.19	-2.6431E-2	0.02059	-1.0207E-3	0.02613	0.02203
PZA00709.19	0.00768	-1.664E-3	-2.0609E-2	-7.8113E-3	0.03756
PZA02985.5	0.0446	-2.2941E-2	0.00291	-2.3927E-2	0.01833
PZA03457.1	0.04746	0.0068	0.01864	-1.1717E-2	-7.5602E-3
PZA00013.8	-2.1723E-2	0.01642	0.00416	0.01231	0.00102
PZA00013.9	-2.0732E-2	0.01773	0.00365	0.0075	0.00236
PZA03392.2	-1.148E-2	0.00763	-6.3836E-3	-9.6196E-3	0.00639
PZA03392.1	-1.3654E-2	-3.0344E-3	-1.1043E-2	0.00945	-4.1312E-3
tb1.20	-6.9698E-3	-6.4758E-3	-5.0359E-3	-1.7959E-2	0.01402
tb1.19	-1.1398E-2	0.00224	-3.6626E-3	-2.0111E-2	0.01684
tb1.18	-7.9465E-3	0.00121	-5.5181E-3	-1.8693E-2	0.01698
tb1.15	0.00946	-5.2542E-3	-4.9167E-4	0.00439	0.00213
tb1.14	6.967E-4	-1.8162E-2	-9.7077E-3	-2.6335E-2	0.02851
tb1.13	-1.9569E-3	-2.0497E-2	-5.7104E-3	-2.767E-2	0.0303
tb1.12	-1.0283E-3	-1.7701E-2	-8.8591E-3	-2.3053E-2	0.02497
